condition	readout	abundance	score
experiment1	ESYT2	3.509355530661423	0.011768053
experiment1	AGPS	4.429189307613296	0.0088501787
experiment1	MYO1C	15.51230812932176	7.7374334e-6
experiment1	SNAP23	7.802405946056827	3.1281455e-5
experiment1	TNFRSF10A	5.642634835988409	0.002215853
experiment1	PSMD11	4.075345799465565	0.024145912
experiment1	PGRMC1	10.02938574449754	0.0023257961
experiment1	CLIC1	8.355716410680166	0.046057764
experiment1	PLOD2	12.37854937729058	0.0021982023
experiment1	KPNA3	3.927382375886217	0.01226763
experiment1	PODXL	3.801785819468109	0.025189694
experiment1	SLC9A3R1	5.045720423377392	0.0063043432
experiment1	NRP1	2.055423690604208	0.034577254
experiment1	SCAMP3	15.10368080509082	5.2407544e-5
experiment1	HAT1	3.885027827310998	0.0025310593
experiment1	PLXNB2	4.541089270118777	0.033789899
experiment1	SCAMP2	2.813734765895175	0.039252836
experiment1	PGRMC2	6.30811752443576	8.984602e-5
experiment1	SLC16A3	15.92898805504419	0.0013638036
experiment1	P4HA2	4.661997105831825	0.017696133
experiment1	CYB5B	5.074950417965025	0.0027635393
experiment1	PHGDH	4.626045954247909	0.0035643892
experiment1	PSMD3	2.427634010310099	0.039888773
experiment1	TPD52L2	23.23581118275983	5.7521516e-5
experiment1	EPB41L2	8.358134225447584	5.3129421e-4
experiment1	ASNA1	3.613337404289092	0.024171969
experiment1	ACTN4	25.04091520109057	2.4310639e-4
experiment1	MYO1B	5.367576960855256	0.013872604
experiment1	CALU	8.724435546564564	4.191359e-4
experiment1	EDIL3	17.40610914884368	0.0011072314
experiment1	RAD21	2.077934027581828	0.043640874
experiment1	PCDH7	2.302026952641903	0.044285681
experiment1	PLIN3	4.465923184376114	0.0023310226
experiment1	CTNND1	7.855745136160008	9.5025974e-4
experiment1	USO1	4.073099202873399	0.0074792881
experiment1	EIF5B	2.29297269662335	0.026262917
experiment1	CLASP2	4.484038670816046	0.039957959
experiment1	H2AFY	12.05920836145174	0.0064659752
experiment1	CS	9.284669654113223	3.6419227e-4
experiment1	ERLIN1	3.303938506781104	0.022038857
experiment1	CRTAP	2.152428021304831	0.045304053
experiment1	ZMPSTE24	2.145048252250306	0.023144335
experiment1	ATP5H	13.15444444656425	0.0014463835
experiment1	FLOT1	3.569964116336928	0.011953119
experiment1	GLS	9.332142957134984	2.3528922e-4
experiment1	RTN3	5.491145074029294	0.031154158
experiment1	IPO7	3.190649421230492	0.045266885
experiment1	ACSL3	15.67904742850747	1.2747492e-4
experiment1	PTBP3	4.507656555927933	0.013938699
experiment1	AIFM1	2.908173606293017	0.026570296
experiment1	LDHA	14.61386477687169	0.012305795
experiment1	GLUD1	7.961395386826116	0.0040351115
experiment1	CYB5R3	7.339156504258341	0.0016921794
experiment1	GOT2	4.279528118305178	0.008248087
experiment1	EGFR	10.29405711495185	0.0091797048
experiment1	PGK1	6.757127948443607	0.039181229
experiment1	NRAS	9.655306401692778	0.0096437484
experiment1	HLA-B	25.77144604152465	4.4620535e-4
experiment1	LMNA	8.294521288699908	0.019612135
experiment1	TFRC	74.78079832466925	5.5034602e-6
experiment1	ALDOA	10.97183447493996	0.0092951534
experiment1	ANXA1	9.370141810197628	0.0012607508
experiment1	NR3C1	5.372424193078516	0.019666512
experiment1	THY1	3.356911240911523	0.016415309
experiment1	GAPDH	8.855663799317886	6.1314565e-4
experiment1	HLA-A	45.28130314079161	8.315903e-6
experiment1	HSPB1	2.641300200391047	1.7382175e-5
experiment1	RPN1	18.1254621705261	9.8975361e-5
experiment1	RPN2	5.402218931573117	3.1425702e-4
experiment1	GNAI2	48.47527479166026	4.5222484e-7
experiment1	ATP1A1	44.06445117464538	2.1591622e-6
experiment1	ATP1B1	26.77523952203887	1.5264735e-4
experiment1	SLC25A5	16.46336517246537	1.5990782e-4
experiment1	ITGB1	104.6071776908938	1.0167488e-7
experiment1	ATP5B	11.12914910733013	8.4090962e-6
experiment1	ENO1	29.90997004266416	0.0010161581
experiment1	GPI	5.41498608335401	0.019953942
experiment1	TPM3	5.264677603451739	0.033176411
experiment1	ITGAV	22.31173777288108	4.2248548e-6
experiment1	EPHX1	12.19280984549374	1.2902144e-4
experiment1	LDHB	8.82551853208407	0.045440629
experiment1	P4HB	48.35467775009239	1.2342505e-4
experiment1	CTSD	16.73863765584451	0.0082574282
experiment1	ANXA2;ANXA2P2	75.37140937982635	1.1446162e-5
experiment1	TUBB	3.389899793477842	8.5351026e-8
experiment1	PFN1	6.763139011408496	0.029731682
experiment1	EPRS	4.376704375413998	0.041330036
experiment1	HSP90AA1	7.101306175051063	6.2690771e-5
experiment1	YES1;FYN	5.386104666227475	0.01861852
experiment1	FH	8.872225366148232	0.0039317128
experiment1	CD55	7.426620513217762	0.037560657
experiment1	SLC3A2	106.0223994578674	6.6555793e-7
experiment1	HSP90AB1	4.077015492644644	1.4518179e-5
experiment1	CYC1	3.340513079844801	0.012454483
experiment1	ITGA5	33.01931449604368	1.1560538e-5
experiment1	VIM	3.323450915925916	3.9315663e-4
experiment1	GNAI3	31.58439508233968	5.7261577e-4
experiment1	ADRA2A	4.134452014276126	0.0092316391
experiment1	LGALS1	20.28877597224359	6.4155785e-5
experiment1	HMOX1	4.173608437114162	0.044733513
experiment1	PARP1	3.393221936172317	0.013400966
experiment1	RAB34	5.1738554166758854	0.031741079
experiment1	RRAS	2.19841234493428	0.021501388
experiment1	HLA-C	69.306750507214	5.1714557e-7
experiment1	HSPD1	24.00796815636221	5.0923427e-5
experiment1	CLU	3.707322627018286	0.0069450298
experiment1	HSPA5	7.361970620743637	1.6235494e-5
experiment1	SLC2A1	47.78482272169205	1.6488447e-7
experiment1	PDHB	7.182886905601865	0.0028364754
experiment1	RALA	8.66447639761286	0.022644637
experiment1	RALB	2.300189210865375	0.048490178
experiment1	LAMP1	17.23723924222232	9.7129168e-6
experiment1	ACADM	4.941875889732946	0.020027893
experiment1	G6PD	2.684866029662044	0.030058542
experiment1	PCNA	2.048004926318392	0.021866901
experiment1	PTHLH	39.83511320377673	0.004740315
experiment1	CKB	5.290707734920917	0.040318463
experiment1	ACTN1	5.306652043397008	7.7879813e-4
experiment1	XRCC6	7.50976164945223	0.014987307
experiment1	XRCC5	7.333256503422417	0.0064042928
experiment1	COX4I1	2.506766253832083	0.036785815
experiment1	EEF2	29.5689870774459	0.015617964
experiment1	PDIA4	10.39783446090363	1.7230849e-4
experiment1	P4HA1	4.864050591504803	0.0079466924
experiment1	PLS3	17.43405356116253	1.6411229e-4
experiment1	CD59	10.90601218126551	0.008283698
experiment1	PRKCSH	16.63116993641628	3.2774868e-4
experiment1	PKM	4.49198701765546	2.4378187e-5
experiment1	HSP90B1	25.58839564320066	9.2640839e-6
experiment1	CCNB1	2.578517911488069	0.034999136
experiment1	JUP	35.85423957978388	2.7019645e-5
