"","so_PID","so_NAME","so_SHORTNAME","so_productWave","so_colorWave","so_allTWave","so_ratioWave","so_keyW","class_id","CLASS_ID","CLASS_TERM","UCLASS_ID","UCLASS_TERM"
"1","P35613","Basigin","BSG",18.0227333624717,3,1.010942e-12,65.2298213586482,724,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"2","P05556","Integrin beta-1","ITGB1",15.9925003931346,3,2.9349423e-10,88.0407946542554,358,"PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"3","P08195","4F2 cell-surface antigen heavy chain","SLC3A2",15.5956374606295,3,4.3602955e-10,75.3300372386264,391,"PC00227","PC00227","transporter","PC00227","transporter"
"4","P10321","HLA class I histocompatibility antigen, Cw-7 alpha chain","HLA-C",15.3779423382135,3,2.4166705e-10,54.2352960205685,437,"PC00149","PC00149","major histocompatibility complex protein","PC00090","defense/immunity protein"
"5","P04899","Guanine nucleotide-binding protein G(i) subunit alpha-2","GNAI2",14.9658430236878,3,1.9636261e-10,38.2901503262357,345,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"6","P11166","Solute carrier family 2, facilitated glucose transporter member 1","SLC2A1",14.6294370597979,3,4.6199894e-10,39.2352487053551,450,"PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"7","P16070","CD44 antigen","CD44",14.6064202609718,3,3.341866e-10,35.027326811139,511,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"8","P07355","Annexin A2;Putative annexin A2-like protein","ANXA2;ANXA2P2",13.5704041622602,3,9.1408126e-09,46.2502527932087,377,"PC00060","PC00060","calcium-binding protein","PC00060","calcium-binding protein"
"9","P02786","Transferrin receptor protein 1;Transferrin receptor protein 1, serum form","TFRC",13.528735137868,3,1.2409468e-08,49.2649086089426,325,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"10","P07437","Tubulin beta chain","TUBB",13.1235850464094,3,4.0958899e-12,3.33094977988176,379,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"11","P23528","Cofilin-1","CFL1",13.0939739269192,3,7.7235185e-10,15.7993073086199,594,"PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"12","P80723","Brain acid soluble protein 1","BASP1",13.0489739893524,3,6.4928099e-07,116.275775790559,1090,NA,NA,"Unclassified",NA,"Unclassified"
"13","P05023","Sodium/potassium-transporting ATPase subunit alpha-1","ATP1A1",13.0433094267102,3,1.1719896e-08,34.5888076554283,348,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"14","P27797","Calreticulin","CALR",12.821943467537,3,5.8597127e-08,48.1618737254637,631,"PC00072","PC00072","chaperone","PC00072","chaperone"
"15","P04439","HLA class I histocompatibility antigen, A-3 alpha chain","HLA-A",12.4973501063935,3,3.4754017e-08,32.8621562563004,338,"PC00149","PC00149","major histocompatibility complex protein","PC00090","defense/immunity protein"
"16","P68363","Tubulin alpha-1B chain","TUBA1B",12.2912964950611,3,1.9003566e-11,2.96931837919002,1073,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"17","P14625","Endoplasmin","HSP90B1",12.1848576996013,3,1.2304636e-08,19.3589193613657,494,"PC00028","PC00028","Hsp90 family chaperone","PC00072","chaperone"
"18","Q01650","Large neutral amino acids transporter small subunit 1","SLC7A5",12.1709416448952,3,1.0999084e-07,37.0730320893551,1125,"PC00227","PC00227","transporter","PC00227","transporter"
"19","P11279","Lysosome-associated membrane glycoprotein 1","LAMP1",11.6986390133841,3,9.3883816e-09,12.7394356195953,456,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"20","P43121","Cell surface glycoprotein MUC18","MCAM",11.5272389113891,3,1.1623757e-07,24.1271504331128,785,"PC00125","PC00125","immunoglobulin superfamily cell adhesion molecule","PC00069","cell adhesion molecule"
