"","so_PID","so_SHORTNAME","so_NAME","so_ratioWave","so_allTWave","int","class_id","CLASS_ID","CLASS_TERM","UCLASS_ID","UCLASS_TERM"
"1","O43399","TPD52L2","Tumor protein D54",565.478959192863,6.2190495e-08,"DM|PE|RE","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"2","P55327","TPD52","Tumor protein D52",282.559669878222,3.4916534e-12,"DM|PE","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"3","P80723","BASP1","Brain acid soluble protein 1",116.275775790559,6.4928099e-07,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"4","O14828","SCAMP3","Secretory carrier-associated membrane protein 3",113.303181089762,4.1335066e-10,"DM|PE","PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"5","P68032","ACTC1","Actin, alpha cardiac muscle 1",103.60012087884,0.00088316941,"PE","PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"6","P20340","RAB6A","Ras-related protein Rab-6A",93.4776611609332,1.2568938e-10,"DM|PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"7","Q16563","SYPL1","Synaptophysin-like protein 1",88.5634839990833,8.6952173e-10,"DM","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"8","P05556","ITGB1","Integrin beta-1",88.0407946542554,2.9349423e-10,"PE","PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"9","Q6RW13","AGTRAP","Type-1 angiotensin II receptor-associated protein",82.9451670607144,2.2573909e-09,"DM","PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"10","P08195","SLC3A2","4F2 cell-surface antigen heavy chain",75.3300372386264,4.3602955e-10,"PE","PC00227","PC00227","transporter","PC00227","transporter"
"11","P35613","BSG","Basigin",65.2298213586482,1.010942e-12,"PE","PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"12","P10321","HLA-C","HLA class I histocompatibility antigen, Cw-7 alpha chain",54.2352960205685,2.4166705e-10,"PE","PC00149","PC00149","major histocompatibility complex protein","PC00090","defense/immunity protein"
"13","P02786","TFRC","Transferrin receptor protein 1",49.2649086089426,1.2409468e-08,"PE","PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"14","Q09666","AHNAK","Neuroblast differentiation-associated protein AHNAK",48.73991012577,1.4670187e-05,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"15","P27797","CALR","Calreticulin",48.1618737254637,5.8597127e-08,"PE","PC00072","PC00072","chaperone","PC00072","chaperone"
"16","P07355","ANXA2","Annexin A2",46.2502527932087,9.1408126e-09,"PE","PC00060","PC00060","calcium-binding protein","PC00060","calcium-binding protein"
"17","O43854","EDIL3","EGF-like repeat and discoidin I-like domain-containing protein 3",44.6135798835648,6.6428432e-11,"DM|PE","PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"18","O43760","SYNGR2","Synaptogyrin-2",43.9388299054087,5.6519447e-08,"DM|PE","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"19","Q9H0U4","RAB1B","Ras-related protein Rab-1B",42.8772297079613,1.5047021e-08,"DM|PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"20","P11166","SLC2A1","Solute carrier family 2, facilitated glucose transporter member 1",39.2352487053551,4.6199894e-10,"PE","PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"21","P04899","GNAI2","Guanine nucleotide-binding protein G(i) subunit alpha-2",38.2901503262357,1.9636261e-10,"PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"22","P12272","PTHLH","Parathyroid hormone-related protein",37.5980341987041,0.0041862172,"PE","PC00179","PC00179","peptide hormone","PC00207","intercellular signal molecule"
"23","P62820","RAB1A","Ras-related protein Rab-1A",37.1769696015683,2.8809351e-05,"DM|PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"24","Q01650","SLC7A5","Large neutral amino acids transporter small subunit 1",37.0730320893551,1.0999084e-07,"PE","PC00227","PC00227","transporter","PC00227","transporter"
"25","P16070","CD44","CD44 antigen",35.027326811139,3.341866e-10,"PE","PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"26","P05023","ATP1A1","Sodium/potassium-transporting ATPase subunit alpha-1",34.5888076554283,1.1719896e-08,"PE","PC00068","PC00068","primary active transporter","PC00227","transporter"
