"","so_PID","so_NAME","so_SHORTNAME","so_productWave","so_colorWave","so_allTWave","so_ratioWave","so_keyW","class_id","CLASS_ID","CLASS_TERM","UCLASS_ID","UCLASS_TERM"
"1","P55327","Tumor protein D52","TPD52",19.5993810135062,3,3.4916534e-12,282.559669878222,426,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"2","P20340","Ras-related protein Rab-6A","RAB6A",16.447251255625,3,1.2568938e-10,93.4776611609332,229,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"3","O43399","Tumor protein D54","TPD52L2",16.3496054739439,3,6.2190495e-08,565.478959192863,35,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"4","O14828","Secretory carrier-associated membrane protein 3","SCAMP3",16.2077258537782,3,4.1335066e-10,113.303181089762,15,"PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"5","O43854","EGF-like repeat and discoidin I-like domain-containing protein 3","EDIL3",15.65705669569,3,6.6428432e-11,44.6135798835648,49,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"6","Q16563","Synaptophysin-like protein 1","SYPL1",15.5293595623577,3,8.6952173e-10,88.5634839990833,659,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"7","Q6RW13","Type-1 angiotensin II receptor-associated protein","AGTRAP",15.0204788397366,3,2.2573909e-09,82.9451670607144,693,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"8","P51809","Vesicle-associated membrane protein 7","VAMP7",13.4080882963947,3,1.3252112e-09,23.1088439790749,404,"PC00034","PC00034","SNARE protein","PC00150","membrane traffic protein"
"9","Q7Z3C6","Autophagy-related protein 9A","ATG9A",13.3180562606417,3,9.2478264e-10,19.4823515485338,705,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"10","Q9H0U4","Ras-related protein Rab-1B;Putative Ras-related protein Rab-1C","RAB1B",13.2446891344709,3,1.5047021e-08,42.8772297079613,1908,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"11","O15126","Secretory carrier-associated membrane protein 1","SCAMP1",12.9033173256211,3,7.2975026e-09,27.2180492185815,21,"PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"12","O75165","DnaJ homolog subfamily C member 13","DNAJC13",12.7483372937582,3,8.0910771e-09,25.2173358579634,61,"PC00072","PC00072","chaperone","PC00072","chaperone"
"13","O43760","Synaptogyrin-2","SYNGR2",12.7052268036124,3,5.6519447e-08,43.9388299054087,44,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"14","P61421","V-type proton ATPase subunit d 1","ATP6V0D1",12.6697288837625,3,1.3481894e-09,13.9237903267208,457,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"15","P20645","Cation-dependent mannose-6-phosphate receptor","M6PR",12.1824856022534,3,2.7054188e-08,24.500170592644,230,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"16","Q16890","Tumor protein D53","TPD52L1",11.6189139579753,3,3.0906246e-08,17.2552139759533,664,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"17","Q8IWB7","WD repeat and FYVE domain-containing protein 1","WDFY1",11.1575801368171,3,4.2427082e-08,13.7868717952895,715,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"18","Q93050","V-type proton ATPase 116 kDa subunit a isoform 1","ATP6V0A1",11.0892115739229,3,5.2456876e-08,14.0161086021283,766,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"19","P61019","Ras-related protein Rab-2A","RAB2A",11.0694411627263,3,1.5154036e-07,19.0269093016627,444,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"20","Q8NCG7","Sn1-specific diacylglycerol lipase beta","DAGLB",10.5536197053272,3,3.7236634e-07,17.4431687479697,731,"PC00143","PC00262","hydrolase","PC00121","metabolite interconversion enzyme"
"21","Q9H3Z4","DnaJ homolog subfamily C member 5","DNAJC5",10.500086951517,3,1.5481216e-06,25.8106037277116,854,"PC00072","PC00072","chaperone","PC00072","chaperone"
"22","P27658","Collagen alpha-1(VIII) chain;Vastatin","COL8A1",10.4896864427744,3,8.5313566e-08,10.7086470847358,271,"PC00103","PC00103","extracellular matrix structural protein","PC00102","extracellular matrix protein"
"23","Q15836","Vesicle-associated membrane protein 3","VAMP3",10.462076912908,3,1.1221455e-06,22.8184077173349,651,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"24","P61106","Ras-related protein Rab-14","RAB14",10.3338793180693,3,9.4348792e-07,19.8162975546243,447,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"25","Q96QE2","Proton myo-inositol cotransporter","SLC2A13",10.1195125808018,3,1.0674542e-07,8.86341079829573,800,"PC00227","PC00227","transporter","PC00227","transporter"
"26","P63027","Vesicle-associated membrane protein 2","VAMP2",9.84511047167829,3,2.8511745e-06,19.7001435510704,503,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"27","P62820","Ras-related protein Rab-1A","RAB1A",9.75680358043649,3,2.8809351e-05,37.1769696015683,487,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"28","P15291","Beta-1,4-galactosyltransferase 1;Lactose synthase A protein;N-acetyllactosamine synthase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Processed beta-1,4-galactosyltransferase 1","B4GALT1",9.66134654871258,3,6.9361363e-07,11.333047313899,206,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"29","P49585","Choline-phosphate cytidylyltransferase A","PCYT1A",9.6239315375993,3,2.4672568e-06,16.1800687846428,385,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"30","Q10589","Bone marrow stromal antigen 2","BST2",9.55422981898119,3,1.545637e-05,26.7847000891606,573,NA,NA,"Unclassified",NA,"Unclassified"
