"so_SHORTNAME","so_NAME","so_PID","so_ratioWave","so_allTWave","Entry","Entry.Name","Protein.names","Gene.Names","Transmembrane","Length","Function..CC.","Subcellular.location..CC.","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","tms"
"ACACA","Acetyl-CoA carboxylase 1","Q13085",2.34917309613385,0.019161124,"Q13085","ACACA_HUMAN","Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha)","ACACA ACAC ACC1 ACCA","",2346,"FUNCTION: Cytosolic enzyme that catalyzes the carboxylation of acetyl-CoA to malonyl-CoA, the first and rate-limiting step of de novo fatty acid biosynthesis (PubMed:20952656, PubMed:20457939, PubMed:29899443). This is a 2 steps reaction starting with the ATP-dependent carboxylation of the biotin carried by the biotin carboxyl carrier (BCC) domain followed by the transfer of the carboxyl group from carboxylated biotin to acetyl-CoA (PubMed:20952656, PubMed:20457939, PubMed:29899443). {ECO:0000269|PubMed:20457939, ECO:0000269|PubMed:20952656, ECO:0000269|PubMed:29899443}.","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q5SWU9}.","acetyl-CoA metabolic process [GO:0006084]; cellular response to prostaglandin E stimulus [GO:0071380]; fatty acid biosynthetic process [GO:0006633]; fatty-acyl-CoA biosynthetic process [GO:0046949]; lipid homeostasis [GO:0055088]; malonyl-CoA biosynthetic process [GO:2001295]; protein homotetramerization [GO:0051289]; protein metabolic process [GO:0019538]; tissue homeostasis [GO:0001894]","actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; mitochondrion [GO:0005739]",0
"ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial","P11310",0.763992921326611,0.24140537,"P11310","ACADM_HUMAN","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7) (Medium chain acyl-CoA dehydrogenase) (MCADH)","ACADM","",421,"FUNCTION: Medium-chain specific acyl-CoA dehydrogenase is one of the acyl-CoA dehydrogenases that catalyze the first step of mitochondrial fatty acid beta-oxidation, an aerobic process breaking down fatty acids into acetyl-CoA and allowing the production of energy from fats (PubMed:1970566, PubMed:8823175, PubMed:21237683, PubMed:2251268). The first step of fatty acid beta-oxidation consists in the removal of one hydrogen from C-2 and C-3 of the straight-chain fatty acyl-CoA thioester, resulting in the formation of trans-2-enoyl-CoA (PubMed:2251268). Electron transfer flavoprotein (ETF) is the electron acceptor that transfers electrons to the main mitochondrial respiratory chain via ETF-ubiquinone oxidoreductase (ETF dehydrogenase) (PubMed:25416781, PubMed:15159392). Among the different mitochondrial acyl-CoA dehydrogenases, medium-chain specific acyl-CoA dehydrogenase acts specifically on acyl-CoAs with saturated 6 to 12 carbons long primary chains (PubMed:1970566, PubMed:8823175, PubMed:21237683, PubMed:2251268). {ECO:0000269|PubMed:15159392, ECO:0000269|PubMed:1970566, ECO:0000269|PubMed:21237683, ECO:0000269|PubMed:2251268, ECO:0000269|PubMed:25416781, ECO:0000269|PubMed:8823175}.","SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16020546}.","cardiac muscle cell differentiation [GO:0055007]; carnitine biosynthetic process [GO:0045329]; carnitine metabolic process, CoA-linked [GO:0019254]; fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; glycogen biosynthetic process [GO:0005978]; liver development [GO:0001889]; medium-chain fatty acid catabolic process [GO:0051793]; medium-chain fatty acid metabolic process [GO:0051791]; post-embryonic development [GO:0009791]; regulation of gluconeogenesis [GO:0006111]; response to cold [GO:0009409]; response to starvation [GO:0042594]","axon [GO:0030424]; cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleus [GO:0005634]",0
"ACLY","ATP-citrate synthase","P53396",2.30492229930141,0.10377955,"P53396","ACLY_HUMAN","ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)","ACLY","",1101,"FUNCTION: Catalyzes the cleavage of citrate into oxaloacetate and acetyl-CoA, the latter serving as common substrate for de novo cholesterol and fatty acid synthesis. {ECO:0000269|PubMed:10653665, ECO:0000269|PubMed:1371749, ECO:0000269|PubMed:19286649, ECO:0000269|PubMed:23932781, ECO:0000269|PubMed:9116495}.","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:9116495}.","acetyl-CoA biosynthetic process [GO:0006085]; cholesterol biosynthetic process [GO:0006695]; citrate metabolic process [GO:0006101]; coenzyme A metabolic process [GO:0015936]; fatty acid biosynthetic process [GO:0006633]; lipid biosynthetic process [GO:0008610]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]","azurophil granule lumen [GO:0035578]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nucleoplasm [GO:0005654]",0
"ACSL3","Long-chain-fatty-acid--CoA ligase 3","O95573",1.13180800175154,0.89617217,"O95573","ACSL3_HUMAN","Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2)","ACSL3 ACS3 FACL3 LACS3","TRANSMEM 21..41; /note=""Helical; Signal-anchor for type III membrane protein""; /evidence=""ECO:0000255""",720,"FUNCTION: Acyl-CoA synthetases (ACSL) activates long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:22633490). Required for the incorporation of fatty acids into phosphatidylcholine, the major phospholipid located on the surface of VLDL (very low density lipoproteins) (PubMed:18003621). Has mainly an anabolic role in energy metabolism. Mediates hepatic lipogenesis. Preferentially uses myristate, laurate, arachidonate and eicosapentaenoate as substrates. Both isoforms exhibit the same level of activity (By similarity). {ECO:0000250|UniProtKB:Q63151, ECO:0000269|PubMed:18003621, ECO:0000269|PubMed:22633490}.","SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.","fatty acid metabolic process [GO:0006631]; long-chain fatty acid import into cell [GO:0044539]; long-chain fatty acid metabolic process [GO:0001676]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; long-chain fatty-acyl-CoA metabolic process [GO:0035336]; neuron differentiation [GO:0030182]; positive regulation of Golgi to plasma membrane protein transport [GO:0042998]; positive regulation of phosphatidylcholine biosynthetic process [GO:2001247]; positive regulation of secretion [GO:0051047]; very-low-density lipoprotein particle assembly [GO:0034379]","endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; perinuclear region of cytoplasm [GO:0048471]; peroxisomal membrane [GO:0005778]; plasma membrane [GO:0005886]",1
"ACTB","Actin, cytoplasmic 1","P60709",2.02827032709589,0.30429232,"P60709","ACTB_HUMAN","Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]","ACTB","",375,"FUNCTION: Actin is a highly conserved protein that polymerizes to produce filaments that form cross-linked networks in the cytoplasm of cells (PubMed:29581253). Actin exists in both monomeric (G-actin) and polymeric (F-actin) forms, both forms playing key functions, such as cell motility and contraction (PubMed:29581253). In addition to their role in the cytoplasmic cytoskeleton, G- and F-actin also localize in the nucleus, and regulate gene transcription and motility and repair of damaged DNA (PubMed:29925947). Part of the ACTR1A/ACTB filament around which the dynactin complex is built. The dynactin multiprotein complex activates the molecular motor dynein for ultra-processive transport along microtubules (By similarity). {ECO:0000250|UniProtKB:Q6QAQ1, ECO:0000269|PubMed:29581253, ECO:0000269|PubMed:29925947}.","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:17289661}. Nucleus {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:29925947}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000269|PubMed:17289661}.","adherens junction assembly [GO:0034333]; apical protein localization [GO:0045176]; axonogenesis [GO:0007409]; cell motility [GO:0048870]; cellular response to cytochalasin B [GO:0072749]; chromatin remodeling [GO:0006338]; establishment or maintenance of cell polarity [GO:0007163]; histone acetylation [GO:0016573]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; maintenance of blood-brain barrier [GO:0035633]; morphogenesis of a polarized epithelium [GO:0001738]; negative regulation of cell differentiation [GO:0045596]; negative regulation of protein binding [GO:0032091]; platelet aggregation [GO:0070527]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of norepinephrine uptake [GO:0051623]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of T cell differentiation [GO:0045582]; postsynaptic actin cytoskeleton organization [GO:0098974]; protein localization to adherens junction [GO:0071896]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of double-strand break repair [GO:2000779]; regulation of G0 to G1 transition [GO:0070316]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of norepinephrine uptake [GO:0051621]; regulation of nucleotide-excision repair [GO:2000819]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transepithelial transport [GO:0150111]; regulation of transmembrane transporter activity [GO:0022898]; retina homeostasis [GO:0001895]; substantia nigra development [GO:0021762]","actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; adherens junction [GO:0005912]; apical junction complex [GO:0043296]; axon [GO:0030424]; bBAF complex [GO:0140092]; blood microparticle [GO:0072562]; brahma complex [GO:0035060]; brush border [GO:0005903]; calyx of Held [GO:0044305]; cell-cell junction [GO:0005911]; chromatin [GO:0000785]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dense body [GO:0097433]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; GBAF complex [GO:0140288]; glutamatergic synapse [GO:0098978]; kinetochore [GO:0000776]; lamellipodium [GO:0030027]; membrane [GO:0016020]; nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; NuA4 histone acetyltransferase complex [GO:0035267]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; presynapse [GO:0098793]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; RSC-type complex [GO:0016586]; Schaffer collateral - CA1 synapse [GO:0098685]; SWI/SNF complex [GO:0016514]; synapse [GO:0045202]; tight junction [GO:0070160]; vesicle [GO:0031982]",0
"ACTC1","Actin, alpha cardiac muscle 1","P68032",9.4958814544781,0.13654922,"P68032","ACTC_HUMAN","Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]","ACTC1 ACTC","",377,"FUNCTION: Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells.","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.","actin filament organization [GO:0007015]; actin filament-based movement [GO:0030048]; actin-myosin filament sliding [GO:0033275]; actomyosin structure organization [GO:0031032]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; heart contraction [GO:0060047]; mesenchyme migration [GO:0090131]; negative regulation of apoptotic process [GO:0043066]; positive regulation of gene expression [GO:0010628]; skeletal muscle thin filament assembly [GO:0030240]","actin filament [GO:0005884]; blood microparticle [GO:0072562]; cell body [GO:0044297]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; I band [GO:0031674]; lamellipodium [GO:0030027]; membrane [GO:0016020]; sarcomere [GO:0030017]",0
"ACTN1","Alpha-actinin-1","P12814",0.736984200071924,0.55140179,"P12814","ACTN1_HUMAN","Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)","ACTN1","",892,"FUNCTION: F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein.","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:24069336, ECO:0000269|PubMed:7750553}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:7750553}. Cell membrane {ECO:0000250|UniProtKB:Q9Z1P2}. Cell junction {ECO:0000250|UniProtKB:Q9Z1P2}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q7TPR4}. Note=Colocalizes with MYOZ2 and PPP3CA at the Z-line of heart and skeletal muscle. Colocalizes with PSD in membrane ruffles and central reticular structures. {ECO:0000250|UniProtKB:Q7TPR4}.","actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; actin filament organization [GO:0007015]; focal adhesion assembly [GO:0048041]; muscle cell development [GO:0055001]; platelet formation [GO:0030220]; platelet morphogenesis [GO:0036344]; regulation of apoptotic process [GO:0042981]","brush border [GO:0005903]; cell junction [GO:0030054]; cell projection [GO:0042995]; cell-cell junction [GO:0005911]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fascia adherens [GO:0005916]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; pseudopodium [GO:0031143]; ruffle [GO:0001726]; stress fiber [GO:0001725]; Z disc [GO:0030018]",0
"ACTN4","Alpha-actinin-4","O43707",0.858840198988522,0.82526982,"O43707","ACTN4_HUMAN","Alpha-actinin-4 (Non-muscle alpha-actinin 4)","ACTN4","",911,"FUNCTION: F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein (Probable). Probably involved in vesicular trafficking via its association with the CART complex. The CART complex is necessary for efficient transferrin receptor recycling but not for EGFR degradation (PubMed:15772161). Involved in tight junction assembly in epithelial cells probably through interaction with MICALL2. Links MICALL2 to the actin cytoskeleton and recruits it to the tight junctions (By similarity). May also function as a transcriptional coactivator, stimulating transcription mediated by the nuclear hormone receptors PPARG and RARA (PubMed:22351778). {ECO:0000250|UniProtKB:P57780, ECO:0000269|PubMed:15772161, ECO:0000269|PubMed:22351778, ECO:0000305|PubMed:9508771}.","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cytoplasm {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cell junction {ECO:0000250|UniProtKB:P57780}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:9508771}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P57780}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Expressed in the perinuclear rim and manchette structure in early elongating spermatids during spermiogenesis (By similarity). Nuclear translocation can be induced by the PI3 kinase inhibitor wortmannin or by cytochalasin D. Exclusively localized in the nucleus in a limited number of cell lines (breast cancer cell line MCF-7, oral floor cancer IMC-2, and bladder cancer KU-7). {ECO:0000250|UniProtKB:P57780, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:9508771}.","actin cytoskeleton organization [GO:0030036]; muscle cell development [GO:0055001]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; positive regulation of cell migration [GO:0030335]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of sodium:proton antiporter activity [GO:0032417]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein transport [GO:0015031]; regulation of apoptotic process [GO:0042981]; retinoic acid receptor signaling pathway [GO:0048384]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vesicle transport along actin filament [GO:0030050]","actin cytoskeleton [GO:0015629]; cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]; pseudopodium [GO:0031143]; ribonucleoprotein complex [GO:1990904]; Z disc [GO:0030018]",0
"ACTR2","Actin-related protein 2","P61160",1.66690214970105,0.38430455,"P61160","ARP2_HUMAN","Actin-related protein 2 (Actin-like protein 2)","ACTR2 ARP2","",394,"FUNCTION: ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF) (PubMed:9000076). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility (PubMed:9000076). Seems to contact the pointed end of the daughter actin filament (PubMed:9000076). In podocytes, required for the formation of lamellipodia downstream of AVIL and PLCE1 regulation (PubMed:29058690). In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA (PubMed:17220302, PubMed:29925947). The Arp2/3 complex promotes homologous recombination (HR) repair in response to DNA damage by promoting nuclear actin polymerization, leading to drive motility of double-strand breaks (DSBs) (PubMed:29925947). {ECO:0000269|PubMed:17220302, ECO:0000269|PubMed:29058690, ECO:0000269|PubMed:29925947, ECO:0000269|PubMed:9000076}.","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9000076}. Cell projection {ECO:0000269|PubMed:9000076}. Nucleus {ECO:0000269|PubMed:17220302, ECO:0000269|PubMed:29925947}.","Arp2/3 complex-mediated actin nucleation [GO:0034314]; asymmetric cell division [GO:0008356]; cellular response to type II interferon [GO:0071346]; cilium assembly [GO:0060271]; cytosolic transport [GO:0016482]; establishment or maintenance of cell polarity [GO:0007163]; meiotic chromosome movement towards spindle pole [GO:0016344]; meiotic cytokinesis [GO:0033206]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of transcription by RNA polymerase II [GO:0045944]; spindle localization [GO:0051653]","actin cap [GO:0030478]; actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; azurophil granule lumen [GO:0035578]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]",0
"ADAR","Double-stranded RNA-specific adenosine deaminase","P55265",3.02095881182239,0.0048428588,"P55265","DSRAD_HUMAN","Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)","ADAR ADAR1 DSRAD G1P1 IFI4","",1226,"FUNCTION: Catalyzes the hydrolytic deamination of adenosine to inosine in double-stranded RNA (dsRNA) referred to as A-to-I RNA editing (PubMed:7972084, PubMed:7565688, PubMed:12618436). This may affect gene expression and function in a number of ways that include mRNA translation by changing codons and hence the amino acid sequence of proteins since the translational machinery read the inosine as a guanosine; pre-mRNA splicing by altering splice site recognition sequences; RNA stability by changing sequences involved in nuclease recognition; genetic stability in the case of RNA virus genomes by changing sequences during viral RNA replication; and RNA structure-dependent activities such as microRNA production or targeting or protein-RNA interactions. Can edit both viral and cellular RNAs and can edit RNAs at multiple sites (hyper-editing) or at specific sites (site-specific editing). Its cellular RNA substrates include: bladder cancer-associated protein (BLCAP), neurotransmitter receptors for glutamate (GRIA2) and serotonin (HTR2C) and GABA receptor (GABRA3). Site-specific RNA editing of transcripts encoding these proteins results in amino acid substitutions which consequently alters their functional activities. Exhibits low-level editing at the GRIA2 Q/R site, but edits efficiently at the R/G site and HOTSPOT1. Its viral RNA substrates include: hepatitis C virus (HCV), vesicular stomatitis virus (VSV), measles virus (MV), hepatitis delta virus (HDV), and human immunodeficiency virus type 1 (HIV-1). Exhibits either a proviral (HDV, MV, VSV and HIV-1) or an antiviral effect (HCV) and this can be editing-dependent (HDV and HCV), editing-independent (VSV and MV) or both (HIV-1). Impairs HCV replication via RNA editing at multiple sites. Enhances the replication of MV, VSV and HIV-1 through an editing-independent mechanism via suppression of EIF2AK2/PKR activation and function. Stimulates both the release and infectivity of HIV-1 viral particles by an editing-dependent mechanism where it associates with viral RNAs and edits adenosines in the 5'UTR and the Rev and Tat coding sequence. Can enhance viral replication of HDV via A-to-I editing at a site designated as amber/W, thereby changing an UAG amber stop codon to an UIG tryptophan (W) codon that permits synthesis of the large delta antigen (L-HDAg) which has a key role in the assembly of viral particles. However, high levels of ADAR1 inhibit HDV replication. {ECO:0000269|PubMed:12618436, ECO:0000269|PubMed:15556947, ECO:0000269|PubMed:15858013, ECO:0000269|PubMed:16120648, ECO:0000269|PubMed:16475990, ECO:0000269|PubMed:17079286, ECO:0000269|PubMed:19605474, ECO:0000269|PubMed:19651874, ECO:0000269|PubMed:19710021, ECO:0000269|PubMed:19908260, ECO:0000269|PubMed:21289159, ECO:0000269|PubMed:22278222, ECO:0000269|PubMed:7565688, ECO:0000269|PubMed:7972084}.","SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:7565688}. Nucleus {ECO:0000269|PubMed:24753571, ECO:0000269|PubMed:7565688}. Note=Shuttles between the cytoplasm and nucleus (PubMed:7565688, PubMed:24753571). Nuclear import is mediated by TNPO1 (PubMed:24753571). {ECO:0000269|PubMed:24753571, ECO:0000269|PubMed:7565688}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000269|PubMed:19124606}. Nucleus {ECO:0000269|PubMed:19124606, ECO:0000269|PubMed:7565688}. Nucleus, nucleolus {ECO:0000269|PubMed:12665561}. Note=Predominantly nuclear but can shuttle between nucleus and cytoplasm. TNPO1 can mediate its nuclear import whereas XPO5 can mediate its nuclear export. {ECO:0000269|PubMed:19124606}.","adenosine to inosine editing [GO:0006382]; base conversion or substitution editing [GO:0016553]; cellular response to virus [GO:0098586]; defense response to virus [GO:0051607]; definitive hemopoiesis [GO:0060216]; erythrocyte differentiation [GO:0030218]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell homeostasis [GO:0061484]; hepatocyte apoptotic process [GO:0097284]; innate immune response [GO:0045087]; mRNA processing [GO:0006397]; negative regulation of hepatocyte apoptotic process [GO:1903944]; negative regulation of post-transcriptional gene silencing by RNA [GO:1900369]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; osteoblast differentiation [GO:0001649]; positive regulation of viral genome replication [GO:0045070]; pre-miRNA processing [GO:0031054]; protein export from nucleus [GO:0006611]; protein import into nucleus [GO:0006606]; response to interferon-alpha [GO:0035455]; response to virus [GO:0009615]; RISC complex assembly [GO:0070922]; RNA processing [GO:0006396]; somatic diversification of immune receptors via somatic mutation [GO:0002566]","cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; supraspliceosomal complex [GO:0044530]",0
