Gene_names	Protein_names	Uniprot_IDs	logFC_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Ratio_H_L_count_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_Mix_CTRL IgM Immunoisolation	PEP
EEF1A1;EEF1A1P5;EEF1A1L14;PTI-1	Elongation factor 1-alpha 1;Elongation factor 1-al	P68104;Q53G85;Q53HM9;Q53HQ7;Q53HR5;Q5VTE0;Q6IPN6;Q6IPS9;Q6IPT9;A8K9C4;Q53GA1;Q53GE9;Q6IQ15;B4DV42;Q96RE1;Q53G89;B4DNE0;Q8IUB0;Q9NZS6;Q9H2I7;F8W6I0;Q16577;B4E2C5;Q504Z0;Q6P4C9;Q96CD8;Q6P082;Q8TBL1;Q96C29;A9X7H1;Q14222;Q96EB3;Q5JR01;A6PW80;Q2F837;E7EPH7;Q6N	0.31	76	10.361	10.153	0
EEF2	Elongation factor 2	P13639;Q8TA90;F5H370;Q6PK56;B4DPU3;B4DRE8;B4DMC6;Q6W6M8	0.315	136	10.141	9.901	0
VIM	Vimentin	P08670;Q53HU8;B0YJC4;F5H288;B3KRK8;B0YJC5;Q5JVS8;A5Z217;P17661;Q45VM6;Q45VM7;Q45VM8;Q53SB5;Q549R8;Q549R9;Q9H319;B3KWQ6;P41219;H7C5W5;Q549R7;P14136;E9PAX3;B4DJW0;B4E192;P07197;A5YM63;E7ESP9;B4DJT7;E7EMV2;B3KQI5;P07196;B4DGN2;E9PBF7;Q16352;B3KXJ0;Q8TCR7;B4D	0.126	108	9.988	9.816	0
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	P04406;E7EUT4;Q2TSD0;E7EUT5;Q0QET7;A4UCT1;B4DRV9;E7EU54;Q16768;O14556	0.059	51	10.189	9.745	0
HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	P22626	0.313	49	10.087	9.725	0
HSPA1B;HSPA1A	Heat shock 70 kDa protein 1A/1B	H0YG33;A8K5I0;P08107;B4DNT8;Q59EJ3;F5GZ62;B4DWK5;F5H1D3;B4DI39;F8VZJ4;B4DFN9;B4E388;B4E1S9;E7EP94;B4DVU9;B3KTT5;Q5SP16;B4DNX1;B4E1T6;Q9UQC1	0.016	93	10.099	9.643	0
CCT8	T-complex protein 1 subunit theta	P50990;Q53HU0;G5E9B2;B4DEM7;Q7Z759;B4DQH4;H7C4C8;H7C2U0	0.25	65	9.722	9.641	0
PRDX1	Peroxiredoxin-1	Q06830;B2R4P2	0.216	44	10.044	9.639	0
CCT2	T-complex protein 1 subunit beta	P78371;F5GWF6;F8VQ14;B7Z4R3;Q9H369	0.188	47	9.584	9.504	0
NCL	Nucleolin	P19338;B3KTP9;Q6ZS99;E7EX81;B3KM80;Q9BQ02;H7BY16;C9JWL1;C9J1H7;C9JLB1;C9JYW2	0.128	64	9.913	9.495	0
