Row	GI Accession	Name	Peptides	Species	Annotation	From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
1	34853134	adaptor protein complex 3 beta 1 subunit (Beta-adaptin 3A)	42	Rattus novegicus	AP-3	AP3B1_HUMAN	O00203	reviewed	AP3B1_HUMAN	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	AP3B1 ADTB3A	Homo sapiens (Human)	1094
2	34857415	adaptor protein complex 3 beta 2 subunit (Beta-adaptin 3B)	30	Rattus novegicus	AP-3	AP3B2_HUMAN	Q13367	reviewed	AP3B2_HUMAN	AP-3 complex subunit beta-2 (Adaptor protein complex AP-3 subunit beta-2) (Adaptor-related protein complex 3 subunit beta-2) (Beta-3B-adaptin) (Clathrin assembly protein complex 3 beta-2 large chain) (Neuron-specific vesicle coat protein beta-NAP)	AP3B2	Homo sapiens (Human)	1082
3	6671565	adaptor protein complex 3 delta subunit	4	Mus musculus	AP-3	AP3D1_HUMAN	O14617	reviewed	AP3D1_HUMAN	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)	AP3D1 PRO0039	Homo sapiens (Human)	1153
4	4502861	adaptor protein complex 3 sigma 1 subunit	4	Homo sapiens	AP-3	AP3S1_HUMAN	Q92572	reviewed	AP3S1_HUMAN	"AP-3 complex subunit sigma-1 (AP-3 complex subunit sigma-3A) (Adaptor-related protein complex 3 subunit sigma-1) (Clathrin-associated/assembly/adaptor protein, small 3) (Sigma-3A-adaptin) (Sigma3A-adaptin) (Sigma-adaptin 3a)"	AP3S1 CLAPS3	Homo sapiens (Human)	193
5	6978771	dynamin II	13	Rattus novegicus	AP-3	DYN2_HUMAN	P50570	reviewed	DYN2_HUMAN	Dynamin-2 (EC 3.6.5.5) (Dynamin 2) (Dynamin II)	DNM2 DYN2	Homo sapiens (Human)	870
6	123647	hsc70	17	Cricetulus griseus	CCV	HSP7C_HUMAN	P11142	reviewed	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	646
7	26006199	RME-8 (mKIAA0678 protein)	5	Mus musculus	AP-3	DJC13_HUMAN	O75165	reviewed	DJC13_HUMAN	DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8)	DNAJC13 KIAA0678 RME8	Homo sapiens (Human)	2243
8	4758988	rab1a	64	Homo sapiens	CCV	RAB1A_HUMAN	P62820	reviewed	RAB1A_HUMAN	Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)	RAB1A RAB1	Homo sapiens (Human)	205
9	92339	rab1b	75	Rattus norvegicus	CCV	RAB1B_HUMAN	Q9H0U4	reviewed	RAB1B_HUMAN	Ras-related protein Rab-1B (EC 3.6.5.2)	RAB1B	Homo sapiens (Human)	201
10	6981452	rab3a	22	Rattus norvegicus	AP-3	RAB3A_HUMAN	P20336	reviewed	RAB3A_HUMAN	Ras-related protein Rab-3A	RAB3A	Homo sapiens (Human)	220
11	13592037	rab3b	12	Rattus norvegicus		RAB3B_HUMAN	P20337	reviewed	RAB3B_HUMAN	Ras-related protein Rab-3B	RAB3B	Homo sapiens (Human)	219
12	19424194	rab3c	22	Rattus norvegicus	CCV	RAB3C_HUMAN	Q96E17	reviewed	RAB3C_HUMAN	Ras-related protein Rab-3C	RAB3C	Homo sapiens (Human)	227
13	18034781	rab3d	16	Rattus norvegicus		RAB3D_HUMAN	O95716	reviewed	RAB3D_HUMAN	Ras-related protein Rab-3D	RAB3D GOV RAB16	Homo sapiens (Human)	219
14	12083645	rab5a	11	Rattus norvegicus	CCV	RAB5A_HUMAN	P20339	reviewed	RAB5A_HUMAN	Ras-related protein Rab-5A (EC 3.6.5.2)	RAB5A RAB5	Homo sapiens (Human)	215
15	34862219	rab5b	13	Rattus norvegicus	CCV	RAB5B_HUMAN	P61020	reviewed	RAB5B_HUMAN	Ras-related protein Rab-5B (EC 3.6.5.2)	RAB5B	Homo sapiens (Human)	215
16	20072723	rab5c 	15	Mus musculus	CCV	RAB5C_HUMAN	P51148	reviewed	RAB5C_HUMAN	Ras-related protein Rab-5C (EC 3.6.5.2) (L1880) (RAB5L)	RAB5C RABL	Homo sapiens (Human)	216
17	13027392	rab7	1	Rattus norvegicus	CCV	RAB7A_HUMAN	P51149	reviewed	RAB7A_HUMAN	Ras-related protein Rab-7a (EC 3.6.5.2)	RAB7A RAB7	Homo sapiens (Human)	207
18	420269	rab10	26	Rattus norvegicus	CCV	RAB10_HUMAN	P61026	reviewed	RAB10_HUMAN	Ras-related protein Rab-10 (EC 3.6.5.2)	RAB10	Homo sapiens (Human)	200
19	4758984	rab11a	10	Homo sapiens	CCV	RB11A_HUMAN	P62491	reviewed	RB11A_HUMAN	Ras-related protein Rab-11A (Rab-11) (EC 3.6.5.2) (YL8)	RAB11A RAB11	Homo sapiens (Human)	216
20	420272	rab14	31	Mus musculus	AP-3	RAB14_HUMAN	P61106	reviewed	RAB14_HUMAN	Ras-related protein Rab-14 (EC 3.6.5.2)	RAB14	Homo sapiens (Human)	215
21	15489394	rab15 	27	Mus musculus		RAB15_HUMAN	P59190	reviewed	RAB15_HUMAN	Ras-related protein Rab-15	RAB15	Homo sapiens (Human)	212
22	11120714	arfaptin 1	4	Rattus norvegicus		ARFP1_HUMAN	P53367	reviewed	ARFP1_HUMAN	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)	ARFIP1	Homo sapiens (Human)	373
23	31981363	arfaptin 2	9	Mus musculus		ARFP1_HUMAN	P53367	reviewed	ARFP1_HUMAN	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)	ARFIP1	Homo sapiens (Human)	373
24	34864272	similar to guanine nucleotide exchange factor p532 	16	Rattus norvegicus		HERC1_HUMAN	Q15751	reviewed	HERC1_HUMAN	Probable E3 ubiquitin-protein ligase HERC1 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 1) (HECT-type E3 ubiquitin transferase HERC1) (p532) (p619)	HERC1	Homo sapiens (Human)	4861
25	38090233	oligophrenin RIKEN cDNA 9030420J04	13	Mus musculus		OPHN1_HUMAN	O60890	reviewed	OPHN1_HUMAN	Oligophrenin-1	OPHN1	Homo sapiens (Human)	802
