User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
IGK@	Invalid identifier / gene not available			
IGKC	IGKC	36 / 716	7.4	47
SYNE2	SYNE2	26 / 716	3.1	43
TROPH	Invalid identifier / gene not available			
DKFZP686M08189	Invalid identifier / gene not available			
KPRP	KPRP	81 / 716	4	31
XP32	XP32	54 / 716	2	11
IGJ	Invalid identifier / gene not available			
RHOA	RHOA	87 / 716	3	15
RHOC	RHOC	77 / 716	1.8	7
ARHA	Invalid identifier / gene not available			
DYNC1LI1	DYNC1LI1	105 / 716	2.6	12
DKFZP686A1525	Invalid identifier / gene not available			
SLC6A15	SLC6A15	31 / 716	1.2	3
DKFZP761I0921	Invalid identifier / gene not available			
NUCB1	NUCB1	43 / 716	2.8	7
MESDC2	MESDC2	35 / 716	1.6	5
SEC22A	SEC22A	 / 716	0	
NUCB2	NUCB2	34 / 716	2.4	11
NUCB2	NUCB2	34 / 716	2.4	11
TMED4	TMED4	2 / 716	1	1
TIRAP3	Invalid identifier / gene not available			
TMED7	TMED7	4 / 716	1.3	2
TMED7-TICAM2	TMED7-TICAM2	4 / 716	1.3	2
GALNT16	GALNT16	1 / 716	1	1
GALNTL1	Invalid identifier / gene not available			
GALNAC-T16	Invalid identifier / gene not available			
SEC23B	SEC23B	95 / 716	3	19
CYB5R3	CYB5R3	64 / 716	3.1	15
SLC38A2	SLC38A2	34 / 716	1.6	7
STRN	STRN	38 / 716	1.4	4
KIAA0319L	KIAA0319L	 / 716	0	
TMED10	TMED10	66 / 716	1.6	6
FAM40A	Invalid identifier / gene not available			
FAM40B	Invalid identifier / gene not available			
GPR107	GPR107	 / 716	0	
AP2A1	AP2A1	80 / 716	1.6	14
AP2A2	AP2A2	80 / 716	1.5	10
GOLGA5	GOLGA5	67 / 716	3.4	9
SLC7A1	SLC7A1	4 / 716	1.5	2
MANEA	MANEA	1 / 716	1	1
ERGIC3	ERGIC3	5 / 716	1	1
TMED2	TMED2	42 / 716	1.7	10
RNP24	Invalid identifier / gene not available			
BASP1	BASP1	121 / 716	5.2	38
GANAB	GANAB	216 / 716	12.5	100
B3GAT3	B3GAT3	 / 716	0	
C19ORF42	Invalid identifier / gene not available			
YWHAH	YWHAH	313 / 716	4.2	29
STRN3	STRN3	37 / 716	1.5	5
TMED9	TMED9	23 / 716	1.3	3
MOB4	MOB4	28 / 716	1.8	8
RABAC1	RABAC1	 / 716	0	
TMEM87B	TMEM87B	 / 716	0	
GLUD1	GLUD1	217 / 716	4.3	28
GLUD2	GLUD2	198 / 716	3.1	19
SDF4	SDF4	45 / 716	1.7	4
KDELR1	KDELR1	31 / 716	1.4	4
KDELR2	KDELR2	39 / 716	1.3	3
MGAT2	MGAT2	 / 716	0	
NCSTN	NCSTN	18 / 716	3.3	9
RAB32	RAB32	6 / 716	1.2	2
RAB38	RAB38	2 / 716	1	1
RAB7L1	Invalid identifier / gene not available			
SPRYD7	SPRYD7	1 / 716	1	1
TMED1	TMED1	1 / 716	1	1
ENPP7	ENPP7	 / 716	0	
ENPP4	ENPP4	 / 716	0	
STX5	STX5	11 / 716	1.5	4
SLC12A4	SLC12A4	2 / 716	1.5	2
SLC12A6	SLC12A6	 / 716	0	
DKFZP686O1827	Invalid identifier / gene not available			
HS2ST1	HS2ST1	3 / 716	1	1
GALNT1	GALNT1	 / 716	0	
PODXL	PODXL	9 / 716	1.2	2
RAB5B	RAB5B	103 / 716	1.9	6
TMEM181	TMEM181	 / 716	0	
STRN3	STRN3	37 / 716	1.5	5
RAB2B	RAB2B	58 / 716	1.6	6
DKFZP313C1541	DKFZP313C1541	58 / 716	1.6	6
TM9SF1	TM9SF1	 / 716	0	
M6PR	M6PR	4 / 716	1.5	3
CALU	CALU	147 / 716	6	31
RER1	RER1	8 / 716	1.1	2
STX10	STX10	 / 716	0	
RTN4	RTN4	169 / 716	5.1	36
NBLA00271	Invalid identifier / gene not available			
NOGOC	Invalid identifier / gene not available			
RAB9A	RAB9A	21 / 716	1.5	6
ATP6V0A2	ATP6V0A2	1 / 716	1	1
TMEM30A	TMEM30A	4 / 716	1.3	2
LNPEP	LNPEP	4 / 716	1	1
GALNT7	GALNT7	3 / 716	1	1
ZFPL1	ZFPL1	1 / 716	1	1
FUT8	FUT8	 / 716	0	
STX12	STX12	1 / 716	1	1
VAMP4	VAMP4	 / 716	0	
GOLIM4	GOLIM4	10 / 716	1.2	2
YIPF3	YIPF3	 / 716	0	
RP3-337H4	Invalid identifier / gene not available			
PRAF2	PRAF2	22 / 716	1.3	4
RTN3	RTN3	54 / 716	1.6	7
LBR	LBR	241 / 716	7	47
GLT8D1	GLT8D1	 / 716	0	
VPS45	VPS45	2 / 716	1	1
GALNT2	GALNT2	14 / 716	1.3	3
RPS27L	RPS27L	372 / 716	2.3	15
LOC392748	Invalid identifier / gene not available			
CS	CS	194 / 716	5.8	37
HLA-C	HLA-C	118 / 716	2.1	11
RAB5C	RAB5C	148 / 716	3.5	17
GOLPH3	GOLPH3	44 / 716	1.4	4
B3GNT1	Invalid identifier / gene not available			
KIAA2013	KIAA2013	1 / 716	1	1
LOC728138	Invalid identifier / gene not available			
IGF2R	IGF2R	31 / 716	1.9	7
METAP2	METAP2	9 / 716	1.2	2
DSG2	DSG2	113 / 716	10.8	62
TUFM	TUFM	408 / 716	11.7	76
ERP44	ERP44	64 / 716	2.8	10
XPO1	XPO1	237 / 716	3.8	52
RAB21	RAB21	131 / 716	2.4	15
SCAMP2	SCAMP2	9 / 716	1.3	4
MAN2A1	MAN2A1	 / 716	0	
MAN1A1	MAN1A1	 / 716	0	
SLC3A2	SLC3A2	189 / 716	4.5	37
TRAPPC2	TRAPPC2	 / 716	0	
TRAPPC2P1	Invalid identifier / gene not available			
GLG1	GLG1	28 / 716	1.7	4
STEAP3	STEAP3	6 / 716	1.3	2
SLC7A5	SLC7A5	73 / 716	2.6	11
LAT1	Invalid identifier / gene not available			
TM9SF3	TM9SF3	31 / 716	1.4	2
SMBP	Invalid identifier / gene not available			
RP11-34E5	Invalid identifier / gene not available			
CC2D1A	CC2D1A	49 / 716	1.6	4
TM9SF4	TM9SF4	3 / 716	1	1
RCN1	RCN1	107 / 716	4.7	53
MDH2	MDH2	198 / 716	9.9	66
ATP11C	ATP11C	 / 716	0	
