NAME	SHORTNAME	PID	productWave	colorWave	allTWave	ratioWave	meanCond1	meanCond2
Ubiquitin-like modifier-activating enzyme 6	UBA6	A0AVT1	3.901634046711845	2	0.024672674	0.2039305396531968	18.44235629784654	20.73620655015531
RCC1 domain-containing protein 1	RCCD1	A6NED2	0.7184241430173515	0	0.60876018	0.705701321894589	18.21854533534573	18.72141571783451
Ig lambda-1 chain C regions;Ig lambda-6 chain C region;Immunoglobulin lambda-like polypeptide 5	IGLC1;IGLC6;IGLL5	P0DOY3;P0DOY2;P0CG04;P0CF74;B9A064	0.4098023865904423	0	0.69591171	1.191151174322215	19.29319880779296	19.04084228409181
Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha	NACA	E9PAV3;Q13765;Q9BZK3	2.234066828558554	1	0.14945477	2.654751075803593	20.62034245159915	19.21176585932295
Kinesin-like protein KIF2A	KIF2A	O00139	0.4118516674274382	0	0.68577063	0.8420451217891696	17.94609350862277	18.19412405996039
Unconventional myosin-Ic	MYO1C	O00159	1.235621040316747	0	0.49706501	1.907964369062163	22.31229031258872	21.38025608309923
AH receptor-interacting protein	AIP	O00170	0.4338110076847279	0	0.65323853	0.8415478447320078	19.77162269423487	20.02050549333004
26S proteasome non-ATPase regulatory subunit 11	PSMD11	O00231	0.8301276136188918	0	0.45748258	1.404933812542295	19.22133073826664	18.73082857263626
Importin-5	IPO5	O00410	0.8205780085207408	0	0.44760218	1.386521710477286	21.2648135729712	20.79334336636468
Insulin-like growth factor 2 mRNA-binding protein 3;Insulin-like growth factor 2 mRNA-binding protein 1;Insulin-like growth factor 2 mRNA-binding protein 2	IGF2BP3;IGF2BP1;IGF2BP2	O00425;Q9NZI8;Q9Y6M1	1.773753412990381	0	0.13750723	0.5314187641011765	17.94651766707221	18.8585965924718
ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	O00571;O15523;Q9NQI0	1.175339732453285	0	0.27133599	0.6557204911644202	21.15323324855949	21.76208036388249
Nuclear factor 1 B-type	NFIB	O00712	0.3138085924140377	0	0.78899586	0.8640080614784107	18.83194742113442	19.04283074275263
Coatomer subunit epsilon	COPE	O14579	0.7093457258722573	0	0.38397431	0.815836572511761	18.64664291811519	18.94029083095339
