NAME	SHORTNAME	PID	productWave	colorWave	allTWave	ratioWave	meanCond1	meanCond2
Ig kappa chain V-III region POM	IGKV3D-7;IGKV3-7	A0A0C4DH55;A0A075B6H7;P01624	1.850344835647675	0	0.041643761	1.385008495214912	14.30944030057427	13.83954547522627
Probable non-functional immunoglobulin kappa variable 2D-24	IGKV2D-24;IGKV2-24	A0A075B6R9;A0A0C4DH68	19.70451322760469	2	5.6036972e-12	0.00285362543945436	14.2964716932636	22.74945999563636
Immunoglobulin kappa variable 2-29	IGKV A18;IGKV2D-26;IGKV2D-29	A2NJV5;A0A0A0MRZ7;A0A075B6S2;P01614;A0A075B6S6;A0A075B6P5;A0A087WW87;P06310;P01615	29.99988320404157	2	3.0731327e-20	0.0006965601419499116	14.10057582256662	24.58804027965995
Serine/threonine-protein kinase SIK1	SIK1;LOC102724428	P57059;A0A0B4J2F2	0.1854702956379466	0	0.84075439	1.079332553218699	14.29246877047411	14.18232932829838
Myelin-associated neurite-outgrowth inhibitor	FAM168B	A1KXE4	0.2514250119962558	0	0.70535529	1.071649358546193	14.18888407449136	14.08905113831984
Acetolactate synthase-like protein	ILVBL	A1L0T0	1.722880577927027	0	0.12985642	1.785519684861485	14.73475968345541	13.8984156441293
CCR4-NOT transcription complex subunit 1	CNOT1	A5YKK6	3.425640664339873	2	0.037635207	0.2497860875184123	15.06558079906295	17.06681576939495
Putative golgin subfamily A member 6-like protein 10;Proline-rich protein 7;Golgin subfamily A member 6-like protein 9;Putative golgin subfamily A member 6-like protein 4;Putative golgin subfamily A member 6-like protein 19	GOLGA6L10;PRR7;GOLGA6L9;GOLGA6L4;GOLGA6L19	A6NI86;Q8TB68;A6NEM1;A6NEF3;H0YKK7	0.3119573550993877	0	0.77145666	0.8709918423440507	13.76236802110956	13.9616369093024
Inactive gamma-glutamyltranspeptidase 2;Gamma-glutamyltranspeptidase 1;Gamma-glutamyltranspeptidase 1 heavy chain;Gamma-glutamyltranspeptidase 1 light chain;Putative gamma-glutamyltranspeptidase 3;Putative gamma-glutamyltranspeptidase 3 heavy chain;Putative gamma-glutamyltranspeptidase 3 light chain;Gamma-glutamyltransferase light chain 2;Putative gamma-glutamyltransferase light chain 3	GGT2;GGT1;GGT3P;GGTLC2;GGTLC3	P36268;P19440;A6NGU5;Q14390;B5MD39	1.893274022974698	0	0.10634246	1.89209000569674	14.12333940358777	13.20335868505643
Homeobox protein HMX3	HMX3	A6NHT5	2.928273145880247	3	0.016407976	2.20890004194739	14.53371159326355	13.39038345852222
RanBP2-like and GRIP domain-containing protein 3	RGPD3	A6NKT7	0.05817662347893737	0	0.9190914	0.9851837061196216	14.20870130546509	14.23023663294474
Cysteine-rich tail protein 1	CYSRT1	A8MQ03	2.977098912887181	3	0.030018618	2.740595787740274	15.49891158358959	14.0444220237679
Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	P62308;A8MWD9	2.279538590411338	0	0.069005735	0.460596777122756	14.30204897984819	15.42047275836225
Putative high mobility group protein B1-like 1;High mobility group protein B1	HMGB1P1;HMGB1	B2RPK0;P09429;P23497	0.1318535584964025	0	0.85330462	0.9572995526427575	14.03478054746001	14.09773820719705
Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	Q99613;B5ME19	0.06519650799281251	0	0.94480246	0.9722926196956742	16.19662278239821	16.2371603068177
Immunoglobulin lambda-like polypeptide 5	IGLL5	B9A064	0.2491231710038218	0	0.75476795	0.9157739157434366	14.03477024306638	14.16170686506231
Protein FAM195B	FAM195B	C9JLW8	0.3339852403084009	0	0.62621152	1.094829562905938	14.26010649924498	14.12940020283287
Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha	NACA	E9PAV3;Q13765;Q9BZK3	1.135761110752352	0	0.28181723	1.500796817737537	14.92043951890647	14.33471084500181
Uncharacterized protein C11orf98	C11orf98	E9PRG8	0.976049155590994	0	0.29598847	0.7334019724669236	14.00921756273565	14.45654151147469
Small ubiquitin-related modifier 1;Small ubiquitin-related modifier	SUMO1	P63165;G2XKQ0	1.138009886251268	0	0.17590985	1.304321975158861	14.40621475147077	14.02291470504037
Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	O00116	4.046496815338147	3	0.004343465	3.213917805520781	16.02960365857154	14.34527062535314
ATP-dependent RNA helicase DDX39A	DDX39A	O00148	1.606444709339954	0	0.23740339	1.975108105241103	16.4265390347857	15.44460741510258
PDZ and LIM domain protein 1	PDLIM1	O00151	0.7727983205708586	0	0.33622399	0.8125750522147197	14.13510615139105	14.43453317484086
Unconventional myosin-Ic	MYO1C	O00159	10.34201364414187	3	1.949534e-07	12.39721766517149	18.02397575974952	14.39203129514256
Synaptosomal-associated protein 23	SNAP23	O00161	8.061863016596954	3	4.7023159e-06	6.653782922043383	16.96703277858394	14.23285797915007
AH receptor-interacting protein	AIP	O00170	3.205728439416294	0	0.0051421337	0.5296562699584552	13.71120654383902	14.62807823848907
AP-3 complex subunit beta-1	AP3B1	O00203;Q13367	0.6105103342114688	0	0.4445996	1.196217228539628	14.71563311655763	14.45715371524945
26S proteasome non-ATPase regulatory subunit 11	PSMD11	O00231	3.459685236165337	3	0.010603269	2.79941422369838	16.31256197371921	14.82743699832658
