"so_SHORTNAME"	"so_NAME"	"so_PID"	"so_ratioWave"	"so_allTWave"
"TPD52"	"Tumor protein D52"	"P55327"	282.559669878222	3.4916534e-12
"RAB6A"	"Ras-related protein Rab-6A"	"P20340"	93.4776611609332	1.2568938e-10
"TPD52L2"	"Tumor protein D54"	"O43399"	565.478959192863	6.2190495e-08
"SCAMP3"	"Secretory carrier-associated membrane protein 3"	"O14828"	113.303181089762	4.1335066e-10
"EDIL3"	"EGF-like repeat and discoidin I-like domain-containing protein 3"	"O43854"	44.6135798835648	6.6428432e-11
"SYPL1"	"Synaptophysin-like protein 1"	"Q16563"	88.5634839990833	8.6952173e-10
"AGTRAP"	"Type-1 angiotensin II receptor-associated protein"	"Q6RW13"	82.9451670607144	2.2573909e-09
"VAMP7"	"Vesicle-associated membrane protein 7"	"P51809"	23.1088439790749	1.3252112e-09
"ATG9A"	"Autophagy-related protein 9A"	"Q7Z3C6"	19.4823515485338	9.2478264e-10
"RAB1B"	"Ras-related protein Rab-1B"	"Q9H0U4"	42.8772297079613	1.5047021e-08
"SCAMP1"	"Secretory carrier-associated membrane protein 1"	"O15126"	27.2180492185815	7.2975026e-09
"DNAJC13"	"DnaJ homolog subfamily C member 13"	"O75165"	25.2173358579634	8.0910771e-09
"SYNGR2"	"Synaptogyrin-2"	"O43760"	43.9388299054087	5.6519447e-08
"ATP6V0D1"	"V-type proton ATPase subunit d 1"	"P61421"	13.9237903267208	1.3481894e-09
"M6PR"	"Cation-dependent mannose-6-phosphate receptor"	"P20645"	24.500170592644	2.7054188e-08
"TPD52L1"	"Tumor protein D53"	"Q16890"	17.2552139759533	3.0906246e-08
"WDFY1"	"WD repeat and FYVE domain-containing protein 1"	"Q8IWB7"	13.7868717952895	4.2427082e-08
"ATP6V0A1"	"V-type proton ATPase 116 kDa subunit a isoform 1"	"Q93050"	14.0161086021283	5.2456876e-08
"RAB2A"	"Ras-related protein Rab-2A"	"P61019"	19.0269093016627	1.5154036e-07
"DAGLB"	"Sn1-specific diacylglycerol lipase beta"	"Q8NCG7"	17.4431687479697	3.7236634e-07
"DNAJC5"	"DnaJ homolog subfamily C member 5"	"Q9H3Z4"	25.8106037277116	1.5481216e-06
"COL8A1"	"Collagen alpha-1(VIII) chain"	"P27658"	10.7086470847358	8.5313566e-08
"VAMP3"	"Vesicle-associated membrane protein 3"	"Q15836"	22.8184077173349	1.1221455e-06
"RAB14"	"Ras-related protein Rab-14"	"P61106"	19.8162975546243	9.4348792e-07
"SLC2A13"	"Proton myo-inositol cotransporter"	"Q96QE2"	8.86341079829573	1.0674542e-07
"VAMP2"	"Vesicle-associated membrane protein 2"	"P63027"	19.7001435510704	2.8511745e-06
"RAB1A"	"Ras-related protein Rab-1A"	"P62820"	37.1769696015683	2.8809351e-05
"B4GALT1"	"Beta-1,4-galactosyltransferase 1"	"P15291"	11.333047313899	6.9361363e-07
