"","Gene_name","Protein_name","Protein_ID","Fold_change","P_value"
"1","TPD52","Tumor protein D52","P55327",282.559669878222,3.4916534e-12
"2","RAB6A","Ras-related protein Rab-6A","P20340",93.4776611609332,1.2568938e-10
"3","TPD52L2","Tumor protein D54","O43399",565.478959192863,6.2190495e-08
"4","SCAMP3","Secretory carrier-associated membrane protein 3","O14828",113.303181089762,4.1335066e-10
"5","EDIL3","EGF-like repeat and discoidin I-like domain-containing protein 3","O43854",44.6135798835648,6.6428432e-11
"6","SYPL1","Synaptophysin-like protein 1","Q16563",88.5634839990833,8.6952173e-10
"7","AGTRAP","Type-1 angiotensin II receptor-associated protein","Q6RW13",82.9451670607144,2.2573909e-09
"8","VAMP7","Vesicle-associated membrane protein 7","P51809",23.1088439790749,1.3252112e-09
"9","ATG9A","Autophagy-related protein 9A","Q7Z3C6",19.4823515485338,9.2478264e-10
"10","RAB1B","Ras-related protein Rab-1B","Q9H0U4",42.8772297079613,1.5047021e-08
"11","SCAMP1","Secretory carrier-associated membrane protein 1","O15126",27.2180492185815,7.2975026e-09
"12","DNAJC13","DnaJ homolog subfamily C member 13","O75165",25.2173358579634,8.0910771e-09
"13","SYNGR2","Synaptogyrin-2","O43760",43.9388299054087,5.6519447e-08
"14","ATP6V0D1","V-type proton ATPase subunit d 1","P61421",13.9237903267208,1.3481894e-09
"15","M6PR","Cation-dependent mannose-6-phosphate receptor","P20645",24.500170592644,2.7054188e-08
"16","TPD52L1","Tumor protein D53","Q16890",17.2552139759533,3.0906246e-08
"17","WDFY1","WD repeat and FYVE domain-containing protein 1","Q8IWB7",13.7868717952895,4.2427082e-08
"18","ATP6V0A1","V-type proton ATPase 116 kDa subunit a isoform 1","Q93050",14.0161086021283,5.2456876e-08
"19","RAB2A","Ras-related protein Rab-2A","P61019",19.0269093016627,1.5154036e-07
"20","DAGLB","Sn1-specific diacylglycerol lipase beta","Q8NCG7",17.4431687479697,3.7236634e-07
"21","DNAJC5","DnaJ homolog subfamily C member 5","Q9H3Z4",25.8106037277116,1.5481216e-06
"22","COL8A1","Collagen alpha-1(VIII) chain","P27658",10.7086470847358,8.5313566e-08
"23","VAMP3","Vesicle-associated membrane protein 3","Q15836",22.8184077173349,1.1221455e-06
"24","RAB14","Ras-related protein Rab-14","P61106",19.8162975546243,9.4348792e-07
"25","SLC2A13","Proton myo-inositol cotransporter","Q96QE2",8.86341079829573,1.0674542e-07
"26","VAMP2","Vesicle-associated membrane protein 2","P63027",19.7001435510704,2.8511745e-06
"27","RAB1A","Ras-related protein Rab-1A","P62820",37.1769696015683,2.8809351e-05
"28","B4GALT1","Beta-1,4-galactosyltransferase 1","P15291",11.333047313899,6.9361363e-07
"29","PCYT1A","Choline-phosphate cytidylyltransferase A","P49585",16.1800687846428,2.4672568e-06
"30","BST2","Bone marrow stromal antigen 2","Q10589",26.7847000891606,1.545637e-05
"31","PI4K2A","Phosphatidylinositol 4-kinase type 2-alpha","Q9BTU6",9.02145407783312,1.1650541e-06
"32","RAB1C","Putative Ras-related protein Rab-1C","Q92928",32.140129305881,0.0001086136
"33","LMBRD2","LMBR1 domain-containing protein 2","Q68DH5",10.2359670993116,4.2283018e-06
"34","SCAMP2","Secretory carrier-associated membrane protein 2","O15127",8.38842625941538,8.7650442e-06
"35","PLD1","Phospholipase D1","Q13393",8.14100866338483,8.7464778e-06
"36","LAMP1","Lysosome-associated membrane glycoprotein 1","P11279",17.423384857991,0.00019377341
"37","RAB8A","Ras-related protein Rab-8A","P61006",7.28601291221451,1.4996247e-05
"38","RAB10","Ras-related protein Rab-10","P61026",13.1189269619029,0.0001134568
"39","PLA2G4A","Cytosolic phospholipase A2","P47712",9.2350128520672,4.529002e-05
"40","ARL8B","ADP-ribosylation factor-like protein 8B","Q9NVJ2",7.36751818870365,2.9570794e-05
"41","MYOF","Myoferlin","Q9NZM1",7.75478374285368,4.1705105e-05
"42","ARFGAP1","ADP-ribosylation factor GTPase-activating protein 1","Q8N6T3",5.58966946775419,1.4146538e-05
"43","TMEM87A","Transmembrane protein 87A","Q8NBN3",5.27710435882898,1.1842611e-05
