so_NAME	so_SHORTNAME	so_PID	so_productWave	so_colorWave	so_allTWave	so_ratioWave	so_keyW
Synaptophysin-like protein 1	SYPL1	Q16563	16.80892500648353	3	2.1269365e-10	140.7196491650196	659
Type-1 angiotensin II receptor-associated protein	AGTRAP	Q6RW13	16.62536432987541	3	3.146981e-10	139.4166074931593	693
Secretory carrier-associated membrane protein 3	SCAMP3	O14828	16.53542827159605	3	7.7213964e-11	85.81301317854015	15
Synaptogyrin-2	SYNGR2	O43760	14.5291102187641	3	1.0146349e-08	92.75931138930629	44
DnaJ homolog subfamily C member 13	DNAJC13	O75165	14.46487496507382	3	8.0312818e-10	41.34554900267543	61
Secretory carrier-associated membrane protein 1	SCAMP1	O15126	14.38161405647771	3	1.6527265e-09	48.49670215068989	21
Vesicle-associated membrane protein 7	VAMP7	P51809	13.68421493278352	3	3.8470693e-09	38.56832724113569	404
EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3	O43854	13.08914150250835	3	5.2439784e-08	56.05620846745108	49
V-type proton ATPase subunit d 1	ATP6V0D1	P61421	12.50139167719628	3	5.9321756e-09	19.35461919296183	457
Proton myo-inositol cotransporter	SLC2A13	Q96QE2	12.48288099452711	3	1.3531406e-09	12.24587436826972	800
Choline-phosphate cytidylyltransferase A	PCYT1A	P49585;Q9Y5K3	12.28876999140432	3	2.9369968e-08	27.03344757663836	385
WD repeat and FYVE domain-containing protein 1	WDFY1	Q8IWB7	12.23546028619169	3	7.9280325e-09	17.56492412776515	715
Sn1-specific diacylglycerol lipase beta	DAGLB	Q8NCG7	12.12077952840825	3	1.6085032e-08	20.07323702647064	731
Tumor protein D52	TPD52	P55327	12.09678162813917	3	1.8595769e-06	82.49275856636332	426
Ras-related protein Rab-1B;Putative Ras-related protein Rab-1C	RAB1B	Q9H0U4;Q92928	12.0681265461072	3	1.5639257e-07	38.38159597467452	1908
Tumor protein D53	TPD52L1	Q16890	11.78781363743606	3	2.8706612e-08	18.97194519336457	664
Autophagy-related protein 9A	ATG9A	Q7Z3C6	11.66688652406545	3	2.5027971e-08	16.74098027830399	705
Bone marrow stromal antigen 2	BST2	Q10589	11.58728330640522	3	8.9652042e-07	46.52206576004659	573
Tumor protein D54	TPD52L2	O43399	10.90188536234126	3	2.4456253e-06	39.13195890065384	35
Ras-related protein Rab-14	RAB14	P61106	10.4657454384028	3	2.0205407e-06	27.30726732906085	447
LMBR1 domain-containing protein 2	LMBRD2	Q68DH5	10.08704192681953	3	4.7850335e-07	13.61312929949036	683
Ras-related protein Rab-2A	RAB2A	P61019	10.07196903033964	3	1.9259573e-06	20.48669762784043	444
V-type proton ATPase 116 kDa subunit a isoform 1	ATP6V0A1	Q93050	9.952855728387064	3	5.6035509e-07	13.00792448569508	766
Vesicle-associated membrane protein 2	VAMP2	P63027	9.89368963401143	3	3.9128554e-06	22.41175381133665	503
Cation-dependent mannose-6-phosphate receptor	M6PR	P20645	9.622041746219171	3	5.7386624e-06	20.83377352182788	230
Phosphatidylinositol 4-kinase type 2-alpha	PI4K2A	Q9BTU6	9.562542187552978	3	3.1022509e-07	8.306374940955118	825
Ras-related protein Rab-1A	RAB1A	P62820;P59190	9.531351503754003	3	0.00010741829	47.25613856902957	487
Solute carrier family 12 member 4	SLC12A4	Q9UP95;Q9UHW9;Q9H2X9	9.420515247236072	3	2.9641069e-07	7.42509268450922	921
DnaJ homolog subfamily C member 5	DNAJC5	Q9H3Z4	9.26898661602835	3	9.2563068e-06	18.83604843840935	854
Transmembrane protein 87A	TMEM87A	Q8NBN3	8.897296028370647	3	6.074892e-07	6.412266426008136	726
Ras-related protein Rab-1B;Putative Ras-related protein Rab-1C	RAB1B;RAB1C	Q9H0U4;Q92928	8.788851268585667	3	0.00057008711	46.68193381029418	848
ADP-ribosylation factor GTPase-activating protein 1	ARFGAP1	Q8N6T3	8.734529603847683	3	2.1526566e-06	8.383220140327259	723
Vesicle-associated membrane protein 3	VAMP3	Q15836;P23763	8.644382120679673	3	6.1443694e-05	21.59850486323461	651
Ras-related protein Rab-5B	RAB5B	P61020	8.643979566198258	3	1.468879e-06	7.017540839985543	445
Phospholipase D1	PLD1	Q13393	8.62582126223916	3	1.9475517e-06	7.543897398627621	594
Vesicle-associated membrane protein 8	VAMP8	Q9BV40	8.499654212454438	3	3.6478577e-05	16.69902721452766	831
Secretory carrier-associated membrane protein 2	SCAMP2	O15127	7.780547281454375	3	1.0185062e-05	6.909162955566988	22
Ras-related protein Rab-6A	RAB6A	P20340;Q9NRW1	7.780417759691691	3	0.001690037	32.18494220847435	229
Ras-related protein Rab-11B	RAB11B	Q15907	6.998629458456655	3	0.00021876603	10.11629666609168	653
Transmembrane protein 179B	TMEM179B	Q7Z7N9	6.993582020970774	3	0.0011674904	16.68911297131093	707
Ras-related protein Rab-21	RAB21	Q9UL25	6.914422765262099	3	8.5576166e-06	3.596954188069989	915
Ras-related protein Rab-10	RAB10	P61026	6.825261192949345	3	0.00045549546	11.18695252247717	446
Vesicle transport protein SFT2A	SFT2D1	Q8WV19	6.645264535013023	3	0.00083141436	11.83577263521039	746
Beta-1,4-galactosyltransferase 1;Lactose synthase A protein;N-acetyllactosamine synthase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Processed beta-1,4-galactosyltransferase 1	B4GALT1	P15291	6.375597861776981	3	0.0010631141	10.57200947995632	206
Lysosome-associated membrane glycoprotein 1	LAMP1	P11279	6.261857192075965	3	0.0032965504	13.73625595983055	182
Serine incorporator 1	SERINC1	Q9NRX5	6.12526049376914	3	0.00084738166	8.301313458587103	872
Ras-related protein Rab-7a	RAB7A	P51149	5.87449795356282	3	0.0039144894	11.05918497528536	397
Ras-related protein Rab-5C	RAB5C	P51148	5.815782776890959	3	0.0025422659	9.324353901375563	396
Trophoblast glycoprotein	TPBG	Q13641	5.647549814699147	3	0.0011307662	6.502176303893434	601
Tetraspanin-6	TSPAN6	O43657	5.600127408482486	3	0.00082063425	5.713112468996813	39
Ras-related protein Rab-8A;Ras-related protein Rab-8B	RAB8A	P61006;Q92930	5.497404700134929	3	0.00064732332	4.953766699029237	1397
Myoferlin	MYOF	Q9NZM1;O75923	5.471702260782244	3	0.0019389807	6.77056315005941	887
